State,Population
Alabama,5031864
Alaska,732964
Arizona,7186683
Arkansas,3014348
California,39503200
Colorado,5785219
Connecticut,3577586
Delaware,991862
District of Columbia,670839
Florida,21591299
Georgia,10732390
Hawaii,1451181
Idaho,1849339
Illinois,12790357
Indiana,6789098
Iowa,3190904
Kansas,2938124
Kentucky,4508155
Louisiana,4652022
Maine,1364517
Maryland,6173689
Massachusetts,6997713
Michigan,10070627
Minnesota,5710578
Mississippi,2958409
Missouri,6154426
Montana,1087211
Nebraska,1963273
Nevada,3115840
New Hampshire,1378702
New Jersey,9272392
New Mexico,2118488
New York,20104710
North Carolina,10453812
North Dakota,779563
Ohio,11798292
Oklahoma,3965234
Oregon,4245044
Pennsylvania,12995477
Rhode Island,1096444
South Carolina,5132151
South Dakota,887852
Tennessee,6926091
Texas,29234361
Utah,3283982
Vermont,642936
Virginia,8637193
Washington,7724566
West Virginia,1791562
Wisconsin,5896700
Wyoming,577664
